users,pair,weight
true_solidarity,clouds-nexrad,1
true_solidarity,clouds-uk,1
true_solidarity,clouds-weathermanipulation,1
true_solidarity,clouds-weather,1
true_solidarity,clouds-nasa,1
true_solidarity,clouds-nwo,1
true_solidarity,clouds-obama,1
true_solidarity,clouds-drought,1
true_solidarity,clouds-poison,1
true_solidarity,clouds-news,1
true_solidarity,clouds-monsanto,1
true_solidarity,clouds-gmo,1
true_solidarity,clouds-infowars,1
true_solidarity,clouds-snow,1
true_solidarity,clouds-fluoride,1
true_solidarity,clouds-snowden,1
true_solidarity,clouds-globalwarming,1
true_solidarity,clouds-weathermodification,1
true_solidarity,clouds-energy,1
true_solidarity,clouds-usa,1
true_solidarity,clouds-conspiracy,1
true_solidarity,clouds-manmadeclouds,1
true_solidarity,clouds-green,1
true_solidarity,clouds-truth,1
true_solidarity,clouds-nsa,1
true_solidarity,clouds-revolution,1
true_solidarity,clouds-government,1
true_solidarity,clouds-fracking,1
true_solidarity,clouds-lookup,1
true_solidarity,clouds-science,1
true_solidarity,clouds-tech,1
true_solidarity,clouds-srm,1
true_solidarity,clouds-solar,1
true_solidarity,clouds-contrails,1
true_solidarity,clouds-usaf,1
true_solidarity,clouds-illuminati,1
true_solidarity,clouds-greatlakes,1
true_solidarity,clouds-depopulation,1
true_solidarity,clouds-fukushima,1
true_solidarity,energy-sun,2
true_solidarity,energy-sunset,3
true_solidarity,energy-geoengineering,4
true_solidarity,energy-haarp,4
true_solidarity,energy-nexrad,1
true_solidarity,energy-uk,3
true_solidarity,energy-weathermanipulation,1
true_solidarity,energy-weather,4
true_solidarity,energy-nasa,2
true_solidarity,energy-nwo,4
true_solidarity,energy-obama,2
true_solidarity,energy-poison,1
true_solidarity,energy-news,1
true_solidarity,energy-monsanto,1
true_solidarity,energy-gmo,3
true_solidarity,energy-infowars,4
true_solidarity,energy-snow,4
true_solidarity,energy-fluoride,4
true_solidarity,energy-snowden,1
true_solidarity,energy-globalwarming,2
true_solidarity,energy-weathermodification,4
true_solidarity,energy-usa,1
true_solidarity,energy-manmadeclouds,3
true_solidarity,energy-green,1
